X,Y,Z,E1,E2,mpt,load,contact,real_wire_speed,set_wire_speed
156.89,91.68,274.93,7.66,329.69,2310.2795,1.19469,1.79907,3.2278,4.4531
156.89,91.68,274.93,7.66,329.69,2310.28545,1.19538,1.69379,3.2278,3.5156
156.89,91.68,274.93,7.66,329.69,2310.2922,1.19575,1.57119,3.2278,3.5156
156.89,91.68,274.93,7.66,329.69,2310.3052,1.19717,1.33483,3.2278,3.5156
156.89,91.68,274.93,7.66,329.69,2299.19619,1.19908,1.15553,3.2278,3.5156
156.89,91.68,274.93,7.66,329.69,2299.19619,1.19908,1.15553,3.2278,3.5156
156.89,91.68,274.93,7.66,329.69,2048.38076,1.19993,0.89278,3.2278,3.5156
157.06,91.4,275.67,7.66,329.81,1900.13894,1.19907,0.81282,3.2278,3.5156
157.06,91.4,275.67,7.66,329.81,1847.17468,1.1988,0.78729,3.2278,3.5156
157.06,91.4,275.67,7.66,329.81,1671.76421,1.19785,0.71458,3.2278,3.5156
157.06,91.4,275.67,7.66,329.81,1428.94735,1.19486,0.61927,3.2278,3.5156
157.06,91.4,275.67,7.66,329.81,1428.94735,1.19486,0.61927,3.2278,3.5156
157.08,91.35,277.1,7.65,329.81,1327.92849,1.193,0.57906,3.2278,3.5156
157.08,91.35,277.1,7.65,329.81,1186.45646,1.19016,0.51548,3.2278,3.5156
157.08,91.35,277.1,7.65,329.81,1148.74413,1.18914,0.49954,3.2278,3.5156
157.08,91.35,277.1,7.65,329.81,1076.41264,1.18692,0.47016,3.2278,3.5156
157.08,91.35,277.1,7.65,329.81,1012.80369,1.18482,0.44662,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,949.77176,1.18197,0.43716,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,949.77176,1.18197,0.43716,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,884.10889,1.17816,0.40403,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,870.6459,1.1774,0.40089,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,842.60949,1.17479,0.38372,3.2278,3.5156
157.08,91.33,278.71,7.66,329.81,842.60949,1.17479,0.38372,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,812.01309,1.17181,0.36741,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,789.02429,1.16914,0.35758,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,775.92209,1.16714,0.35978,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,768.53665,1.16562,0.35894,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,762.42398,1.16425,0.36117,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,756.80001,1.16299,0.35613,3.2278,3.5156
157.09,91.33,280.3,7.66,329.81,756.80001,1.16299,0.35613,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,738.0227,1.15763,0.34978,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,736.01421,1.15717,0.34558,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,736.01421,1.15717,0.34558,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,727.24985,1.15318,0.3427,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,724.70994,1.15119,0.34663,3.2278,3.5156
157.09,91.32,281.9,7.65,329.81,720.81284,1.14807,0.34235,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,716.87684,1.14477,0.33805,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,716.87684,1.14477,0.33805,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,714.0661,1.14153,0.34513,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,710.76099,1.13672,0.34599,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,709.90706,1.13575,0.34284,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,709.17533,1.13557,0.33805,3.2278,3.5156
157.1,91.32,283.49,7.65,329.81,708.11878,1.13515,0.33304,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,707.57859,1.13498,0.3275,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,706.23171,1.13295,0.32723,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,705.56166,1.13177,0.32994,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,704.96532,1.12868,0.31958,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,704.47283,1.1258,0.32939,3.2278,3.5156
157.11,91.33,284.68,7.66,329.81,704.21149,1.12476,0.33152,3.2278,3.5156
157.11,91.34,284.89,7.66,329.81,703.9049,1.12302,0.336,3.2278,3.5156
157.11,91.34,284.89,7.66,329.81,703.38623,1.12028,0.33653,0,3.5156
157.11,91.34,284.89,7.66,329.81,702.89754,1.11891,0.33618,0,3.5156
157.11,91.34,284.89,7.66,329.81,702.89754,1.11891,0.33618,0,3.5156
157.11,91.34,284.89,7.66,329.81,702.73015,1.11855,0.3327,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.62027,1.11801,0.33377,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.34644,1.11608,0.33333,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.21605,1.11583,0.33245,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.16019,1.11575,0.33647,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.13607,1.1156,0.33593,0,3.5156
157.1,91.34,284.91,7.66,329.81,702.04241,1.11501,0.33831,0,3.5156
157.1,91.34,284.92,7.66,329.81,702.04241,1.11501,0.33831,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.96823,1.11473,0.32743,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.93516,1.11458,0.32881,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.90916,1.11451,0.33189,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.83212,1.11358,0.34208,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.80345,1.11351,0.33973,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.77841,1.11346,0.34519,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.753,1.11333,0.34679,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.74267,1.11346,0.34214,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.72134,1.1138,0.33829,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.73168,1.11372,0.33536,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.70859,1.11357,0.34344,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.70014,1.11362,0.34475,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.71722,1.11337,0.34027,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.7079,1.11346,0.34057,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.74514,1.1133,0.34657,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.75515,1.11329,0.34186,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.72502,1.11342,0.33531,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.71019,1.11346,0.33624,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.7531,1.11341,0.33612,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.76465,1.11376,0.3287,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.78985,1.1142,0.33179,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.77424,1.1141,0.33834,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.7948,1.11391,0.33323,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.80562,1.1138,0.33244,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.81684,1.11395,0.33032,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.81684,1.11395,0.33032,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.82847,1.11391,0.32468,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.82847,1.11391,0.32468,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.83802,1.11369,0.32478,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.84063,1.11376,0.32487,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.84653,1.11358,0.32118,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.88765,1.1136,0.32698,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.88634,1.11377,0.32567,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.90826,1.11412,0.33076,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.90064,1.1146,0.32577,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.89626,1.11525,0.32607,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.89048,1.11612,0.32519,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.88885,1.11645,0.32501,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.8862,1.11757,0.33212,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.8862,1.11757,0.33212,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.88371,1.11865,0.33065,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.8812,1.12004,0.3341,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.8799,1.12089,0.33675,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.88213,1.12177,0.33693,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.90761,1.12267,0.33735,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.90202,1.12381,0.3424,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89291,1.12604,0.33958,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89233,1.1262,0.33847,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.88918,1.1279,0.34072,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89848,1.1282,0.34008,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.92141,1.12887,0.3412,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.91766,1.12939,0.33961,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.92903,1.13079,0.33466,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.92903,1.13079,0.33466,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.97946,1.13403,0.33468,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.9756,1.13515,0.34348,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.9756,1.13515,0.34348,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.01509,1.1367,0.34942,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.0257,1.13738,0.34579,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.0249,1.13874,0.34667,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04034,1.13971,0.34693,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04929,1.14027,0.34647,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04286,1.14252,0.34538,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.07997,1.1433,0.34949,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.08507,1.1439,0.34521,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.09544,1.14554,0.34242,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.10202,1.14667,0.34388,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.10659,1.14651,0.34985,0,3.5156
162,80.91,281.91,7.54,333.5,702.10838,1.14706,0.34829,0,3.5156
162,80.91,281.91,7.54,333.5,702.11235,1.14869,0.34856,0,3.5156
162,80.91,281.91,7.54,333.5,702.22439,1.1497,0.35045,0,3.5156
162,80.91,281.91,7.54,333.5,702.2088,1.15067,0.34665,0,3.5156
162,80.91,281.91,7.54,333.5,702.19638,1.15167,0.34552,0,3.5156
162,80.91,281.91,7.54,333.5,702.18802,1.15226,0.34772,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.1782,1.15316,0.34976,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.17178,1.15381,0.34902,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.16484,1.1547,0.34759,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.16484,1.1547,0.34759,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.15388,1.1559,0.3426,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.14989,1.15677,0.34172,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.14989,1.15677,0.34172,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.17259,1.15856,0.3431,0,3.5156
