time,output_welding_voltage_avg,output_welding_current_avg,pyrometer_voltage_avg,pyrometer_temperature_avg,trigger_temperature,x,y,z,angle_x,angle_y,angle_z,layer,do1,rwfs,swfs,tcp_speed_output
55.39,-2.96666,-17.47201,0.94521,102.35978,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
55.6,-2.88364,-16.9739,0.95642,106.00102,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
55.684,-2.98135,-17.44725,0.93726,99.78161,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
55.827,-2.77175,-16.45103,0.96328,108.22762,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
55.987,-2.81996,-16.68926,0.95668,106.08473,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.126,-2.97285,-17.45808,0.94399,101.96636,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.253,-2.94113,-17.44416,0.94508,102.31793,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.405,-2.93211,-17.39002,0.94149,101.1544,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.545,-2.80268,-16.51755,0.95405,105.23092,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.703,-2.93701,-17.27245,0.95065,104.12599,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.833,-2.80604,-16.51755,0.95709,106.21866,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
56.954,-2.92592,-17.22604,0.94905,103.60701,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.064,-2.9236,-17.1982,0.94856,103.44797,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.207,-2.90659,-17.00793,0.94789,103.23033,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.325,-2.93495,-17.29875,0.94967,103.80791,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.453,-2.92334,-17.12859,0.95217,104.61986,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.663,-2.79186,-16.38297,0.95949,106.99713,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.746,-2.9762,-17.68548,0.94082,100.93677,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
57.868,-2.89834,-17.10848,0.94967,103.80791,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.017,-2.81867,-16.50827,0.96008,107.18966,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.173,-2.79779,-16.56705,0.95737,106.31074,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.378,-2.98316,-17.76283,0.93922,100.41778,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.546,-2.93856,-17.16726,0.94892,103.56516,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.65,-2.94526,-17.22759,0.95255,104.74542,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.771,-2.8148,-16.67843,0.9615,107.65004,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
58.902,-2.94268,-17.2477,0.94453,102.14214,,239.04,275.28,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.067,-2.82976,-16.53302,0.95681,106.12658,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.204,-2.86301,-16.89655,0.95023,103.99206,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.332,-2.78722,-16.41546,0.95902,106.84646,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.461,-2.82898,-16.57943,0.95737,106.31074,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.618,-2.8295,-16.70473,0.95425,105.29789,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.771,-2.82744,-16.55004,0.95054,104.09251,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
59.902,-2.86688,-16.91821,0.9501,103.95021,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.025,-2.98728,-17.68857,0.94193,101.29671,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.129,-2.8527,-16.78826,0.95611,105.90057,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.272,-2.85941,-16.77125,0.95371,105.1221,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.405,-2.9829,-17.53388,0.94435,102.08355,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.613,-2.85244,-16.76815,0.95413,105.25603,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.688,-2.94578,-17.47819,0.9416,101.18789,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.829,-2.95403,-17.3761,0.9425,101.48086,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
60.959,-2.81996,-16.79445,0.95402,105.22255,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.134,-2.76917,-16.33656,0.96498,108.78008,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.252,-2.80449,-16.62584,0.96428,108.55408,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.385,-2.76968,-16.34739,0.96119,107.5496,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.541,-2.77664,-16.36286,0.95861,106.71253,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.666,-2.81119,-16.45413,0.95627,105.9508,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.843,-2.99476,-17.61587,0.94232,101.42227,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
61.944,-2.77484,-16.39844,0.95913,106.87994,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
62.098,-3.00172,-17.5509,0.93247,98.22467,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
62.203,-3.00301,-17.63134,0.93675,99.6142,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
62.381,-2.91742,-17.16107,0.94541,102.42675,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,1.0,8.0,8.0,0.0
62.531,-2.92231,-17.14715,0.94634,102.72809,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
62.636,-2.89498,-17.26162,0.94487,102.25096,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
62.78,-2.92644,-17.13323,0.94515,102.34304,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
62.952,-2.9896,-17.56946,0.94544,102.43512,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.08,-2.90375,-17.06671,0.94887,103.54842,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.217,-2.92824,-17.25389,0.95139,104.36874,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.321,-2.93237,-17.13787,0.95211,104.60312,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.458,-2.99296,-17.66073,0.94551,102.46023,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.5,-2.98909,-17.8247,0.94415,102.01658,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.657,-2.80578,-16.44639,0.95897,106.82972,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.828,-2.88441,-17.07599,0.94755,103.12151,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
63.965,-2.9352,-17.27864,0.94918,103.64886,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.076,-2.9401,-17.23223,0.94631,102.71972,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.206,-2.81609,-16.52219,0.95774,106.42793,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.34,-2.81712,-16.49899,0.96568,109.00609,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.533,-2.8741,-16.89036,0.95095,104.22644,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.639,-2.82976,-16.61037,0.96189,107.7756,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.753,-2.97568,-17.48283,0.94564,102.50208,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
64.908,-2.77123,-16.39844,0.9649,108.75497,,239.03,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
65.075,-2.85605,-16.78208,0.95111,104.27666,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
65.197,-2.98368,-17.6499,0.9427,101.54783,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
65.329,-2.85812,-16.72948,0.95859,106.70416,,239.04,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
65.473,-2.96537,-17.58184,0.94706,102.96247,,239.03,275.29,-30.17,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.0
65.618,-2.96382,-17.3993,0.94105,101.0121,,238.93,273.09,-30.23,-179.23,-0.38,177.94,1.0,0.0,8.0,8.0,0.1
65.762,-2.97259,-17.42714,0.94441,102.10029,,238.14,259.51,-30.14,-179.23,-0.38,177.94,1.0,0.0,8.0,8.0,0.1
65.898,-2.97542,-17.38692,0.94941,103.7242,,237.5,245.45,-29.93,-179.24,-0.37,177.94,1.0,0.0,8.0,8.0,0.1
66.018,-2.95609,-17.52924,0.94472,102.20074,,236.91,233.81,-29.74,-179.24,-0.37,177.95,1.0,0.0,8.0,8.0,0.1
66.152,-2.94526,-17.33742,0.94374,101.88265,,236.29,220.16,-29.55,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
66.247,-2.8674,-16.86561,0.95977,107.08921,,235.92,212.13,-29.46,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
66.39,-2.85554,-16.82848,0.95683,106.13495,,235.17,196.83,-29.27,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
66.557,-2.94036,-17.43333,0.94322,101.71524,,234.4,181.55,-29.11,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
66.72,-2.76968,-16.36286,0.96467,108.67964,,233.55,164.68,-28.92,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
66.845,-2.86688,-16.8455,0.95583,105.8085,,232.93,152.13,-28.8,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.016,-2.98548,-17.49985,0.94379,101.89939,,232.05,133.67,-28.59,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.15,-2.92025,-17.35908,0.94585,102.56905,,231.41,121.2,-28.46,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.242,-2.88261,-16.95533,0.95454,105.38996,,230.95,111.93,-28.35,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.382,-2.8179,-16.69545,0.9574,106.31911,,230.29,98.23,-28.2,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.548,-2.89524,-17.10384,0.95222,104.6366,,229.45,81.68,-28.03,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
67.696,-2.89808,-17.05124,0.95913,106.87994,,231.88,75.37,-27.96,-179.24,-0.36,177.97,1.0,0.0,8.0,8.0,0.1
67.827,-2.79701,-16.48971,0.96998,110.40399,,245.36,74.76,-28.02,-179.24,-0.36,177.97,1.0,0.0,8.0,8.0,0.1
67.96,-2.92618,-17.19511,0.95585,105.81687,,257.8,74.06,-28.11,-179.23,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
68.145,-2.90633,-17.19975,0.95052,104.08414,,277.92,73.05,-28.23,-179.24,-0.37,177.96,1.0,0.0,8.0,8.0,0.1
